Stock,Date,Open,High,Low,Close,Adj Close,Volume
LUV,10/1/2022,30.84,36.560001,30.200001,36.349998,35.576637,130478400
LUV,11/1/2022,36.84,39.939999,35.48,39.91,39.060894,102647500
LUV,12/1/2022,40,40.380001,32.189999,33.669998,32.953655,146469600
LUV,1/1/2023,33.82,37.709999,32.099998,35.77,35.008984,152885300
LUV,2/1/2023,35.5,37.310001,33.029999,33.580002,33.035084,107594300
LUV,3/1/2023,33.549999,34.48,28.950001,32.540001,32.011959,163499600
LUV,4/1/2023,32.07,32.939999,28.809999,30.290001,29.958199,148241500
LUV,5/1/2023,30.290001,31.16,28.4,29.870001,29.542799,136859900
LUV,6/1/2023,30.09,36.240002,29.08,36.209999,35.813351,158105700
RYAAY,7/1/2019,64.459999,68.139999,61.23,62.130001,62.130001,11753700
RYAAY,8/1/2019,61.869999,62.52,55.75,57.299999,57.299999,12097300
RYAAY,9/1/2019,57,66.800003,56.82,66.379997,66.379997,11015900
RYAAY,10/1/2019,67.300003,76.139999,64.889999,74.639999,74.639999,10967400
RYAAY,11/1/2019,74.970001,87.059998,74.970001,83.32,83.32,7814900
RYAAY,12/1/2019,83.709999,88.349998,81.919998,87.610001,87.610001,6782200
RYAAY,1/1/2020,88.349998,96.790001,85.889999,86.610001,86.610001,9257200
RYAAY,2/1/2020,92.199997,95.199997,71.419998,71.68,71.68,14265400
RYAAY,3/1/2020,71.099998,73.959999,44.439999,53.09,53.09,32465800
RYAAY,4/1/2020,52,65.220001,49.73,63.470001,63.470001,13071400
RYAAY,5/1/2020,59.5,72.379997,48.610001,71.769997,71.769997,16673000
RYAAY,6/1/2020,72.650002,82.110001,63.91,66.339996,66.339996,14711300
RYAAY,7/1/2020,66.160004,77.269997,63.849998,75,75,12688300
RYAAY,8/1/2020,75,88.029999,73.870003,80.900002,80.900002,8496600
RYAAY,9/1/2020,79.43,89.07,77.089996,81.760002,81.760002,15751300
RYAAY,10/1/2020,82.010002,90.529999,79.239998,80.599998,80.599998,8288800
RYAAY,11/1/2020,83.75,109.650002,81.089996,103.769997,103.769997,13269300
RYAAY,12/1/2020,106.160004,118.169998,102.709999,109.980003,109.980003,11301200
RYAAY,1/1/2021,110.620003,110.790001,94.68,95.07,95.07,9098600
RYAAY,2/1/2021,97.919998,114.150002,95.089996,107.519997,107.519997,10308000
RYAAY,3/1/2021,110.43,117.080002,102.660004,115,115,11231400
RYAAY,4/1/2021,116,118.5,100.309998,116.849998,116.849998,6278600
RYAAY,5/1/2021,117.970001,121.400002,110.720001,116.75,116.75,5000700
RYAAY,6/1/2021,117.660004,121.629997,105,108.209999,108.209999,4740900
RYAAY,7/1/2021,110.139999,112.879997,96.449997,109.040001,109.040001,5919300
RYAAY,8/1/2021,109.879997,112,104.18,107.699997,107.699997,3971400
RYAAY,9/1/2021,108.379997,116.959999,103.550003,110.059998,110.059998,5894200
RYAAY,10/1/2021,112.080002,120.260002,107.75,113.510002,113.510002,5096600
RYAAY,11/1/2021,113.510002,127.25,95.059998,95.550003,95.550003,8247500
RYAAY,12/1/2021,100.860001,107.699997,95.150002,102.330002,102.330002,9022500
RYAAY,1/1/2022,103.349998,118.889999,102.269997,111.620003,111.620003,8410800
RYAAY,2/1/2022,112.160004,125.75,96.989998,99.709999,99.709999,11550500
RYAAY,3/1/2022,95.739998,97.410004,74.120003,87.120003,87.120003,20406700
RYAAY,4/1/2022,85.589996,98.419998,81.949997,87.32,87.32,10152600
RYAAY,5/1/2022,86.620003,90.589996,79.110001,87.199997,87.199997,12039900
RYAAY,6/1/2022,87.040001,87.489998,65.309998,67.25,67.25,9627700
RYAAY,7/1/2022,67.449997,75.300003,65.07,73,73,12856000
RYAAY,8/1/2022,73.989998,77.209999,69.150002,72.709999,72.709999,8230200
RYAAY,9/1/2022,70.559998,75.410004,56.950001,58.419998,58.419998,13621800
RYAAY,10/1/2022,58.200001,69.220001,55.900002,68.889999,68.889999,11645300
RYAAY,11/1/2022,69.279999,78.669998,65.93,75.690002,75.690002,7848000
RYAAY,12/1/2022,77,80.43,73.5,74.760002,74.760002,6498500
RYAAY,1/1/2023,75.989998,97.029999,73.970001,90.529999,90.529999,8013500
RYAAY,2/1/2023,93.050003,99.339996,90.120003,92.769997,92.769997,9372900
RYAAY,3/1/2023,94.059998,98.239998,86.360001,94.290001,94.290001,6426900
RYAAY,4/1/2023,91.769997,97.199997,90.18,95.589996,95.589996,5275000
